input,response
you're mistaken.,"Second, the way"
"Second, the way","our agreement works is,"
"our agreement works is,",the minute Cooper
the minute Cooper,signed the deal
signed the deal,which gave you everything
which gave you everything,"you wanted,"
"you wanted,","our fee was due and payable,"
"our fee was due and payable,",which is why at 7:30
which is why at 7:30,I received confirmation
I received confirmation,of a wire transfer
of a wire transfer,from escrow indicating payment
from escrow indicating payment,in full.
in full.,So I'd say
So I'd say,"the ball's in your court,"
"the ball's in your court,",but the truth is
but the truth is,your balls are in my fist.
your balls are in my fist.,Now I apologize if that image
Now I apologize if that image,"is too pansy for you,"
"is too pansy for you,",but I'm comfortable enough
but I'm comfortable enough,with my manhood
with my manhood,to put it out there.
to put it out there.,Now get your ass in there
Now get your ass in there,and close the goddamn deal.
and close the goddamn deal.,You gonna let him talk to me
You gonna let him talk to me,like this?
like this?,Harvey speaks for the firm.
Harvey speaks for the firm.,[Clears throat]
[Clears throat],We got paid
We got paid,before Gerald signed the deal?
before Gerald signed the deal?,What are you talking about?
What are you talking about?,This is a memo
This is a memo,about some fire drill
about some fire drill,on Tuesday.
on Tuesday.,- Huh.
- Huh.,- You're the blue team captain.
- You're the blue team captain.,You get to wear a fire hat.
You get to wear a fire hat.,Time's up.
Time's up.,Pencils down.
Pencils down.,Excuse me.
Excuse me.,Do I know you from somewhere?
Do I know you from somewhere?,I don't think so.
I don't think so.,I have a pretty good memory
I have a pretty good memory,for faces.
for faces.,So do I.
So do I.,- Sorry.
- Sorry.,- I got it.
- I got it.,Hey.
Hey.,Hey!
Hey!,Stop! You in the cap!
Stop! You in the cap!,<font color=#00ff00>♪ Suits 1x01 ♪</font>
<font color=#00ff00>♪ Suits 1x01 ♪</font>,<font color=#00ffff>Pilot</font>
<font color=#00ffff>Pilot</font>,"Original Air Date on June 23, 2011"
"Original Air Date on June 23, 2011",[Knocking]
[Knocking],What did you get me?
What did you get me?,What I said
What I said,I was gonna get you.
I was gonna get you.,A 158.
A 158.,I told you I wanted a 175.
I told you I wanted a 175.,And I told you
And I told you,only 1 out of 100 people
only 1 out of 100 people,can score that.
can score that.,You're a B-minus student.
You're a B-minus student.,"You got 1,000 on your SATs."
"You got 1,000 on your SATs.","If I get you a 175,"
"If I get you a 175,",they'll know you cheated.
they'll know you cheated.,So only a genius loser
So only a genius loser,can get a 175?
can get a 175?,"Actually, no."
"Actually, no.",I would get a 180.
I would get a 180.,"Now can I have my money,"
"Now can I have my money,",please?
please?,Whoa.
Whoa.,This is only half.
This is only half.,Then why don't you
Then why don't you,go call the police?
go call the police?,I got to get my shit
I got to get my shit,together.
together.,That's the best cheeseburger
That's the best cheeseburger,I've had in my life.
I've had in my life.,"It's from Monday, Trevor."
"It's from Monday, Trevor.","Look, man, I'm serious."
"Look, man, I'm serious.",I almost got caught today.
I almost got caught today.,I've got
I've got,to stop getting stoned.
to stop getting stoned.,I've got to get
I've got to get,my act together.
my act together.,"Dude, look at me."
"Dude, look at me.",You can burn bud
You can burn bud,and still be a success.
and still be a success.,You sell pot for a living.
You sell pot for a living.,Still saps the motivation.
Still saps the motivation.,"All I'm saying is,"
"All I'm saying is,","you want in,"
"you want in,",you are in.
you are in.,"You know,"
"You know,",that is word for word
that is word for word,your offer before I got caught
your offer before I got caught,cheating on your math test
cheating on your math test,in the third grade.
in the third grade.,Goddamn memory.
Goddamn memory.,Stop.
Stop.,"Look, no one's gonna suspect"
"Look, no one's gonna suspect",you're a dealer.
you're a dealer.,"I mean, look at me."
"I mean, look at me.","This is a $2,000 suit, Mike."
"This is a $2,000 suit, Mike.","I got, like, 12 of 'em."
"I got, like, 12 of 'em.",I take on
I take on,real software projects.
real software projects.,I have clients who bring me
I have clients who bring me,"briefcases filled with cash,"
"briefcases filled with cash,",and I hand them
and I hand them,identical briefcases
identical briefcases,with vacuum-sealed bud.
with vacuum-sealed bud.,So what do you need me for?
So what do you need me for?,"Well, I have a client"
"Well, I have a client","coming in from out of town,"
"coming in from out of town,","and I can't meet him,"
"and I can't meet him,",and I need someone I can trust
and I need someone I can trust,to make the drop.
to make the drop.,It's totally safe.
It's totally safe.,"Trevor, a person"
"Trevor, a person",is more likely to die
is more likely to die,while dealing drugs
while dealing drugs,than they would be
than they would be,on death row in Texas.
on death row in Texas.,Wait.
Wait.,What are you talking about?
What are you talking about?,It's from <i>Freakonomics.</i>
It's from <i>Freakonomics.</i>,Do you read anything
Do you read anything,that I give you?
that I give you?,"It doesn't matter,"
"It doesn't matter,",because you have to find
because you have to find,somebody else.
somebody else.,I'm not interested.
I'm not interested.,Not interested in what?
Not interested in what?,What are you doing here?
What are you doing here?,You said you were gonna stay
You said you were gonna stay,at your place tonight.
at your place tonight.,"Hi, sweetie."
"Hi, sweetie.",What a pleasant surprise.
What a pleasant surprise.,I'm so glad you stopped by.
I'm so glad you stopped by.,Yeah.
Yeah.,We're in the middle
We're in the middle,of something.
of something.,What are you
What are you,in the middle of?
in the middle of?,Trevor's trying
Trevor's trying,to set me up.
to set me up.,That's terrific.
That's terrific.,Who's the lucky girl?
Who's the lucky girl?,I'm trying to get him
I'm trying to get him,to work for me.
to work for me.,That's a great idea.
That's a great idea.,It will take some stress
It will take some stress,"off Trevor,"
"off Trevor,",and you'll pick up
and you'll pick up,writing code
writing code,like you do everything else.
like you do everything else.,All right.
All right.,I got to go.
I got to go.,I got go get up early
I got go get up early,to see my grandmother
to see my grandmother,and pay them another month.
and pay them another month.,Oh.
Oh.,[Grunting]
[Grunting],[Giggles]
[Giggles],- Good night.
- Good night.,- Bye.
- Bye.,How did you know Gerald
How did you know Gerald,wouldn't look at that memo?
wouldn't look at that memo?,Because a charging bull
Because a charging bull,"always looks at the red cape,"
"always looks at the red cape,",not at the man
not at the man,with the sword.
with the sword.,"By the way,"
"By the way,",I've set up a meeting
I've set up a meeting,for you and John Dockery
for you and John Dockery,next week.
next week.,Dockery?
Dockery?,He's Skadden's biggest client.
He's Skadden's biggest client.,Not anymore.
Not anymore.,He's looking around.
He's looking around.,He plays tennis.
He plays tennis.,I want you to close him.
I want you to close him.,Consider it done.
Consider it done.,Then you are
Then you are,officially dismissed
officially dismissed,for the evening.
for the evening.,Cheers.
Cheers.,"Well, you two seem"
"Well, you two seem",to be celebrating something.
to be celebrating something.,Mm-hmm.
Mm-hmm.,We are.
We are.,"In fact, you are looking"
"In fact, you are looking",at the best closer
at the best closer,this city has ever seen.
this city has ever seen.,"Closer, huh?"
"Closer, huh?",Baseball?
Baseball?,Attorney.
Attorney.,I close situations.
I close situations.,Hmm.
Hmm.,So you only care about money?
So you only care about money?,"The truth is,"
"The truth is,",I do it for the children.
I do it for the children.,[Chuckles]
[Chuckles],I'm Lisa.
I'm Lisa.,Harvey.
Harvey.,"Lisa, I don't normally do this,"
"Lisa, I don't normally do this,","but since we are celebrating,"
"but since we are celebrating,",what time do you get off
what time do you get off,tonight?
tonight?,I'm glad you asked.
I'm glad you asked.,I get off at ten past
I get off at ten past,"""I'm never going out with you."""
"""I'm never going out with you.""",I guess you're not the best
I guess you're not the best,closer this city's ever seen.
closer this city's ever seen.,[Upbeat music]
[Upbeat music],♪ ♪
♪ ♪,Good morning.
Good morning.,"Lisa, this was lovely,"
"Lisa, this was lovely,",but I'm afraid
but I'm afraid,you have to go.
you have to go.,- Aw.
- Aw.,"- I hate to miss a workout,"
"- I hate to miss a workout,",and I really need
and I really need,to be in the office by 7:30.
to be in the office by 7:30.,I can make you breakfast?
I can make you breakfast?,You could eat it
You could eat it,off my stomach.
off my stomach.,"I guess if I skip the gym,"
"I guess if I skip the gym,",I can still get in by 9:00.
I can still get in by 9:00.,[Giggles]
[Giggles],I hear someone's
I hear someone's,not taking their pills.
not taking their pills.,Because they're trying
Because they're trying,to poison me.
to poison me.,"Grammy, that's crazy."
"Grammy, that's crazy.",Dr. Shrager gave me her word
Dr. Shrager gave me her word,she wouldn't poison you
she wouldn't poison you,until January.
until January.,"If she does it before then,"
"If she does it before then,",she can't count it
she can't count it,towards next year's quota.
towards next year's quota.,"Oh, what did I teach you?"
"Oh, what did I teach you?",[Imitates explosion]
[Imitates explosion],"Michael, I'm not gonna be"
"Michael, I'm not gonna be",around forever.
around forever.,And I want you to stop
And I want you to stop,with that stuff.
with that stuff.,What stuff?
What stuff?,"I may be old,"
"I may be old,",but I'm not an idiot.
but I'm not an idiot.,I know life has been hard
I know life has been hard,"for you,"
"for you,","but you're not a kid anymore,"
"but you're not a kid anymore,",and I want you to promise
and I want you to promise,you're gonna start living up
you're gonna start living up,to your potential.
to your potential.,I promise.
I promise.,I'm not saying that I haven't
I'm not saying that I haven't,"been charmed by Harvey,"
"been charmed by Harvey,",but it's just so patronizing
but it's just so patronizing,when you say
when you say,that he can handle those things
that he can handle those things,"and, ""Louis,"
"and, ""Louis,","you can only handle this."""
"you can only handle this.""","Jessica, I could have handled"
"Jessica, I could have handled",Gerald Tate.
Gerald Tate.,And I told you
And I told you,I disagree.
I disagree.,- Why?
- Why?,- Because when you put
- Because when you put,two bullies
two bullies,"in the same room together,"
"in the same room together,",things generally
things generally,don't go so well.
don't go so well.,It's 9:30.
It's 9:30.,Nice of you to show up
Nice of you to show up,two hours after we open
two hours after we open,for business.
for business.,And I see that you're also
And I see that you're also,trying to look like a pimp.
trying to look like a pimp.,"My bad, Louis."
"My bad, Louis.",I was out late last night.
I was out late last night.,"And when I woke up,"
"And when I woke up,",this is the suit
this is the suit,your wife picked out for me.
your wife picked out for me.,And that would be funny
And that would be funny,if I'd actually been married.
if I'd actually been married.,Moving along.
Moving along.,- You're not married?
- You're not married?,- Recruiting. Harvey.
- Recruiting. Harvey.,Your interviews are set up
Your interviews are set up,for tomorrow.
for tomorrow.,What?
What?,Why don't we just hire
Why don't we just hire,the Harvard summer associate
the Harvard summer associate,douche?
douche?,I think if you listen
I think if you listen,to the phrasing
to the phrasing,"of that question,"
"of that question,",you'll come up with an answer.
you'll come up with an answer.,We need people who think
We need people who think,"on their feet,"
"on their feet,",not another clone
not another clone,with a rod up his ass.
with a rod up his ass.,"Harvey, the fact"
"Harvey, the fact",that we only hire from Harvard
that we only hire from Harvard,gives us a cache
gives us a cache,that's a little more valuable
that's a little more valuable,than hiring a kid
than hiring a kid,from Rutgers.
from Rutgers.,You went to Harvard Law.
You went to Harvard Law.,I'm an exception.
I'm an exception.,Find me another one.
Find me another one.,Can we please skip
Can we please skip,the recruiting?
the recruiting?,I work better alone anyway.
I work better alone anyway.,"Well, I would, Harvey,"
"Well, I would, Harvey,",except all senior partners
except all senior partners,get an associate.
get an associate.,It's just a rule.
It's just a rule.,I'm sorry.
I'm sorry.,What?
What?,"Jessica, I deserve"
"Jessica, I deserve",that promotion.
that promotion.,My billables destroy his.
My billables destroy his.,And I'm here night and day
And I'm here night and day,doing whatever's needed
doing whatever's needed,instead of swanning
instead of swanning,in and out of here
in and out of here,whenever I please.
whenever I please.,"I must admit, he does make me"
"I must admit, he does make me",sound very swan-like.
sound very swan-like.,"Harvey,"
"Harvey,",shut up.
shut up.,"Louis, this is how it is."
"Louis, this is how it is.","All right,"
"All right,",now you two make nice.
now you two make nice.,"Louis, I apologize."
"Louis, I apologize.",I was out of line.
I was out of line.,Now if you'll just let me text
Now if you'll just let me text,your pretend wife
your pretend wife,"that I just made senior partner,"
"that I just made senior partner,",I--what?
I--what?,Your grandmother's
Your grandmother's,getting worse.
getting worse.,I need to move her
I need to move her,to full care
to full care,or I'll have to transfer her
or I'll have to transfer her,to the state facility.
to the state facility.,I won't put her
I won't put her,in a state facility.
in a state facility.,Then I'm afraid you'll have
Then I'm afraid you'll have,"to come up with $25,000."
"to come up with $25,000.",[Sighs]
[Sighs],"Trevor, I'm in."
"Trevor, I'm in.",One-time deal.
One-time deal.,I want 25.
I want 25.,Take it or leave it.
Take it or leave it.,I'll take it.
I'll take it.,There's a briefcase in my room.
There's a briefcase in my room.,"Pick it up tomorrow,"
"Pick it up tomorrow,",take it to room 2412
take it to room 2412,at the Chilton Hotel.
at the Chilton Hotel.,Now you can't go
Now you can't go,to a luxury hotel
to a luxury hotel,"looking like a delivery guy,"
"looking like a delivery guy,","so shave,"
"so shave,","comb your hair,"
"comb your hair,",buy a suit.
buy a suit.,That's a hell
That's a hell,"of a lot to ask, man."
"of a lot to ask, man.","Well, I'm not asking you."
"Well, I'm not asking you.","I'm paying you $25,000."
"I'm paying you $25,000.",Okay?
Okay?,"Yeah, he's in."
"Yeah, he's in.",Good.
Good.,I'm gonna go take a piss.
I'm gonna go take a piss.,Key.
Key.,"24 hours, we'll know"
"24 hours, we'll know",if this new buyer's a cop.
if this new buyer's a cop.,Why didn't you tell Trevor
Why didn't you tell Trevor,he might be sending
he might be sending,his guy into a setup?
his guy into a setup?,Same reason
Same reason,why I don't tell Gina
why I don't tell Gina,I'm banging her sister.
I'm banging her sister.,It'll only cause trouble.
It'll only cause trouble.,What's up?
What's up?,I'm just gonna take off.
I'm just gonna take off.,I don't think you should.
I don't think you should.,Why don't you stay with us
Why don't you stay with us,till tomorrow?
till tomorrow?,Now give me your cell phone.
Now give me your cell phone.,Give me your phone.
Give me your phone.,Don't even think
Don't even think,about warning your boy.
about warning your boy.,"'Cause if these guys are cops,"
"'Cause if these guys are cops,",whoever's holding that weed
whoever's holding that weed,is going to jail
is going to jail,for a long time.
for a long time.,[Knock at door]
[Knock at door],Hey.
Hey.,"Hey. God, you scared the hell"
"Hey. God, you scared the hell",out of me.
out of me.,Sorry.
Sorry.,Look at you.
Look at you.,You look great.
You look great.,Thanks.
Thanks.,Tell me you decided
Tell me you decided,to work with Trevor.
to work with Trevor.,Yeah.
Yeah.,Trial basis. Yeah.
Trial basis. Yeah.,What are you doing here?
What are you doing here?,My mom is coming
My mom is coming,by my place later.
by my place later.,And I don't want
And I don't want,"to mess it up,"
"to mess it up,",so I'm hanging here.
so I'm hanging here.,[Softly] Got to go.
[Softly] Got to go.,Hey.
Hey.,Come here.
Come here.,Mm.
Mm.,You want to look perfect
You want to look perfect,on your first day.
on your first day.,Yeah.
Yeah.,I've got to go.
I've got to go.,Mm-hmm.
Mm-hmm.,Great. Thanks.
Great. Thanks.,"Donna, we're gonna need"
"Donna, we're gonna need",to streamline this.
to streamline this.,Give each guy a hard time.
Give each guy a hard time.,"Before you send them back,"
"Before you send them back,",give me a wink
give me a wink,if they say something clever.
if they say something clever.,Cool?
Cool?,Okay.
Okay.,What are you looking for?
What are you looking for?,Another me.
Another me.,[Exhales]
[Exhales],[Overlapping chatter]
[Overlapping chatter],"So, Chip,"
"So, Chip,",what makes you think
what makes you think,that I'm gonna let
that I'm gonna let,the whitest man
the whitest man,that I have ever seen
that I have ever seen,interview for our firm?
interview for our firm?,Because I have
Because I have,an appointment.
an appointment.,Hmm.
Hmm.,You can do this.
You can do this.,"Kid, what is wrong with you?"
"Kid, what is wrong with you?",You look
You look,like you're 11 years old.
like you're 11 years old.,I was late to puberty.
I was late to puberty.,Harvey Specter.
Harvey Specter.,"Uh, excuse me."
"Uh, excuse me.",I was thinking
I was thinking,about going for a swim.
about going for a swim.,Are the pool facilities here
Are the pool facilities here,nice?
nice?,"Of course, sir."
"Of course, sir.",This is the Chilton Hotel.
This is the Chilton Hotel.,And do you have the time?
And do you have the time?,"Yes, uh..."
"Yes, uh...",10:00.
10:00.,Thanks.
Thanks.,- He saw your gun.
- He saw your gun.,- You think that's him?
- You think that's him?,Matches the description.
Matches the description.,But he didn't go
But he didn't go,in the room.
in the room.,It's 10:00 exactly.
It's 10:00 exactly.,He's just walking by?
He's just walking by?,Go after him.
Go after him.,Stay on the radio.
Stay on the radio.,Rick Sorkin.
Rick Sorkin.,Rick Sorkin.
Rick Sorkin.,[Coughs]
[Coughs],Rick Sorkin?
Rick Sorkin?,"Excuse me, Mr. Sorkin,"
"Excuse me, Mr. Sorkin,",you are five minutes late.
you are five minutes late.,Is there a reason
Is there a reason,why I should let you in?
why I should let you in?,"Look, I'm just trying"
"Look, I'm just trying","to ditch the cops, okay?"
"to ditch the cops, okay?",I don't really care
I don't really care,if you let me in or not.
if you let me in or not.,Mr. Specter will be
Mr. Specter will be,right with you.
right with you.,What?
What?,Can I get you anything?
Can I get you anything?,A coffee or a bottle of water?
A coffee or a bottle of water?,"Hi, Rick Sorkin."
"Hi, Rick Sorkin.",Harvey Specter.
Harvey Specter.,Nice to meet you.
Nice to meet you.,Why don't you have
Why don't you have,a seat here?
a seat here?,Whoa.
Whoa.,What's this?
What's this?,Can I help you?
Can I help you?,No.
No.,How the hell did you know
How the hell did you know,they were the police?
they were the police?,I read this novel
I read this novel,"in elementary school,"
"in elementary school,",and it was
and it was,the exact same thing.
the exact same thing.,You read a novel
You read a novel,in elementary school.
in elementary school.,What?
What?,I like to read.
I like to read.,And why'd you ask them
And why'd you ask them,what time it was?
what time it was?,Throw 'em off.
Throw 'em off.,What kind of drug dealer
What kind of drug dealer,asks a cop
asks a cop,what time it is
what time it is,when he's got a briefcase
when he's got a briefcase,"full of pot, right?"
"full of pot, right?",We should hire you.
We should hire you.,"Jesus, I'd give you"
"Jesus, I'd give you",the 25 grand
the 25 grand,as a signing bonus.
as a signing bonus.,I'll take it.
I'll take it.,"Unfortunately,"
"Unfortunately,",we only hire
we only hire,from Harvard.
from Harvard.,And you not only did not go
And you not only did not go,"to Harvard Law School,"
"to Harvard Law School,",you haven't even gone
you haven't even gone,to any law school.
to any law school.,What if I told you
What if I told you,that I consume knowledge
that I consume knowledge,"like no one you've ever met,"
"like no one you've ever met,",and I've actually passed
and I've actually passed,the bar?
the bar?,I'd say
I'd say,you're full of crap.
you're full of crap.,That's a Barbri legal handbook
That's a Barbri legal handbook,"right there, right?"
"right there, right?",Open it up.
Open it up.,Read me something.
Read me something.,Anything.
Anything.,"""Civil liability associated"
"""Civil liability associated",with agency is based
with agency is based,"on several factors--"""
"on several factors--""","- ""including the deviation"
"- ""including the deviation","""of the agent"
"""of the agent","from his path,"
"from his path,","""the reasonable inference"
"""the reasonable inference",of agency on behalf
of agency on behalf,"""of the plaintiff,"
"""of the plaintiff,",and the nature
and the nature,"of the damages themselves."""
"of the damages themselves.""",How did you know that?
How did you know that?,I learned it when I studied
I learned it when I studied,for the bar.
for the bar.,"Okay, hotshot,"
"Okay, hotshot,",fire up this laptop.
fire up this laptop.,I'm gonna show you
I'm gonna show you,what a Harvard attorney
what a Harvard attorney,can do.
can do.,Pick a topic.
Pick a topic.,Stock option backdating.
Stock option backdating.,Although backdating options
Although backdating options,"is legal,"
"is legal,",violations arise
violations arise,related to disclosures
related to disclosures,under IRC Section 409a.
under IRC Section 409a.,You forgot
You forgot,about Sarbanes-Oxley.
about Sarbanes-Oxley.,The statute of limitations
The statute of limitations,renders Sarbanes-Oxley moot
renders Sarbanes-Oxley moot,post 2007.
post 2007.,Not if you can find actions
Not if you can find actions,to cover up the violation
to cover up the violation,as established in
as established in,"the Sixth Circuit, May 2008."
"the Sixth Circuit, May 2008.","That's impressive, but you're"
"That's impressive, but you're",sitting at a computer.
sitting at a computer.,Playing hearts.
Playing hearts.,Sorry.
Sorry.,"If you want to beat me,"
"If you want to beat me,",you're gonna have to do it
you're gonna have to do it,at something else.
at something else.,How can you know
How can you know,all that?
all that?,I told you.
I told you.,I like to read.
I like to read.,"And once I read something,"
"And once I read something,",I understand it.
I understand it.,"And once I understand it,"
"And once I understand it,",I never forget it.
I never forget it.,Why take the bar?
Why take the bar?,This dickhead bet me
This dickhead bet me,I couldn't pass it
I couldn't pass it,without going to law school.
without going to law school.,"Okay, look,"
"Okay, look,",this is
this is,"all pretty fascinating stuff,"
"all pretty fascinating stuff,",but I'm afraid
but I'm afraid,I got to get back to work.
I got to get back to work.,I'll make sure
I'll make sure,that Serpico isn't around
that Serpico isn't around,waiting for you.
waiting for you.,"You want this job so much,"
"You want this job so much,",why didn't you just go
why didn't you just go,to law school?
to law school?,"When I was in college,"
"When I was in college,",it was my dream
it was my dream,to be a lawyer.
to be a lawyer.,"I needed some money,"
"I needed some money,",and Trevor convinced me
and Trevor convinced me,to memorize this math test
to memorize this math test,and to sell it.
and to sell it.,Turns out we sold it
Turns out we sold it,to the Dean's daughter.
to the Dean's daughter.,"I lost my scholarship,"
"I lost my scholarship,","I got kicked out of school,"
"I got kicked out of school,",I...
I...,I got knocked
I got knocked,into a different life.
into a different life.,And I have been wishing
And I have been wishing,for a way back ever since.
for a way back ever since.,Let me tell you something.
Let me tell you something.,This isn't elementary school.
This isn't elementary school.,This is hard work.
This is hard work.,Long hours.
Long hours.,High pressure.
High pressure.,I need a grown goddamn man.
I need a grown goddamn man.,"You give me this,"
"You give me this,",and I will work
and I will work,as hard as it takes
as hard as it takes,to school those Harvard douches
to school those Harvard douches,and become the best lawyer
and become the best lawyer,you have ever seen.
you have ever seen.,I'm inclined
I'm inclined,"to give you a shot,"
"to give you a shot,",but what if I decide
but what if I decide,to go another way?
to go another way?,I'd say that's fair.
I'd say that's fair.,Sometimes I like to hang out
Sometimes I like to hang out,with people
with people,"who aren't that bright,"
"who aren't that bright,","you know,"
"you know,",just to see
just to see,how the other half lives.
how the other half lives.,Move over.
Move over.,I'm emailing the firm
I'm emailing the firm,I just found our next associate.
I just found our next associate.,All right.
All right.,You're gonna start a week
You're gonna start a week,from Monday.
from Monday.,Here's what you're gonna do.
Here's what you're gonna do.,"First, no more pot."
"First, no more pot.",We drug test.
We drug test.,"Stop smoking now,"
"Stop smoking now,","you'll be fine,"
"you'll be fine,",I assume that's all the drugs
I assume that's all the drugs,you do.
you do.,- How do you know that?
- How do you know that?,"- You read books, I read people."
"- You read books, I read people.",And potheads smoke pot.
And potheads smoke pot.,That's what they do.
That's what they do.,It's not all I do.
It's not all I do.,I have interests.
I have interests.,You're Albert
You're Albert,"friggin' Einstein,"
"friggin' Einstein,",and you couldn't manage
and you couldn't manage,to get into law school?
to get into law school?,You think that's not
You think that's not,from smoking weed?
from smoking weed?,- Trevor got--
- Trevor got--,- That's another thing.
- That's another thing.,You're never gonna talk
You're never gonna talk,to Trevor again.
to Trevor again.,You're gonna ditch
You're gonna ditch,"that briefcase,"
"that briefcase,",and you're gonna get on a plane
and you're gonna get on a plane,"to Harvard,"
"to Harvard,",and you're gonna learn
and you're gonna learn,everything there is
everything there is,about going
about going,to law school there.
to law school there.,Did you buy that suit?
Did you buy that suit?,Yeah.
Yeah.,Let's buy some new ones.
Let's buy some new ones.,Hi.
Hi.,How do I sign up
How do I sign up,for today's law school tour?
for today's law school tour?,You go back in time
You go back in time,six weeks
six weeks,because
because,that's when it booked up.
that's when it booked up.,Um...
Um...,This is Harvard Law.
This is Harvard Law.,"We get over 7,000 applications"
"We get over 7,000 applications",a year.
a year.,You think you can just walk in
You think you can just walk in,and take a tour?
and take a tour?,Thank you.
Thank you.,"Eduardo Fernandez,"
"Eduardo Fernandez,","who, first of all,"
"who, first of all,",looks like he works
looks like he works,"at the public pool or something,"
"at the public pool or something,",and he comes up to me
and he comes up to me,"the other day,"
"the other day,",and I completely know
and I completely know,he's a freshman.
he's a freshman.,And he looks at me
And he looks at me,"and he goes,"
"and he goes,","""Where's"
"""Where's","the public health school?"""
"the public health school?""",Which is right
Which is right,"around the corner,"
"around the corner,",and you know what I tell him?
and you know what I tell him?,Clifford Watkins?
Clifford Watkins?,Excuse me.
Excuse me.,Can I help you?
Can I help you?,Jonathan Atwater.
Jonathan Atwater.,I work for Dean Wormer
I work for Dean Wormer,in the Admissions Office.
in the Admissions Office.,"Yes, of course."
"Yes, of course.",What can I do for you?
What can I do for you?,"Well, the Dean"
"Well, the Dean",personally sent me down here
personally sent me down here,to invite you
to invite you,to a small cocktail hour
to a small cocktail hour,for some of
for some of,our more realistic candidates.
our more realistic candidates.,And we'd like to keep
And we'd like to keep,"this sort of thing discreet,"
"this sort of thing discreet,",so if you'd subtly hand me
so if you'd subtly hand me,"your name tag,"
"your name tag,",you can proceed
you can proceed,directly to the Dean's office.
directly to the Dean's office.,Congratulations.
Congratulations.,Harvard Law
Harvard Law,is the oldest law school
is the oldest law school,in the country
in the country,and boasts
and boasts,the most successful graduates
the most successful graduates,in the world.
in the world.,"Currently, we are six"
"Currently, we are six",of nine Supreme Court Justices
of nine Supreme Court Justices,"and, of course, the President"
"and, of course, the President",of the United States.
of the United States.,[Alarm clock buzzing]
[Alarm clock buzzing],"Uh, hi, good morning."
"Uh, hi, good morning.",I'm here to see--
I'm here to see--,- Have a seat.
- Have a seat.,Thank you.
Thank you.,Mike Ross?
Mike Ross?,"Hi, I'm Rachel Zane."
"Hi, I'm Rachel Zane.",I'll be giving you
I'll be giving you,your orientation.
your orientation.,- Wow. You're pretty.
